created_at,tweet,sentiment
2019-05-24 18:11:01,b'https://t.co/2umqIhtqtu &gt; Get regular updates on various #Stocks #ETFs and #Bitcoin with 50% off in Memorial Day pr\xe2\x80\xa6 https://t.co/aFiNqSkg3K',0.0
2019-05-24 18:10:58,b'https://t.co/OZQn1KhuMO &gt; Get regular updates on various #Stocks #ETFs and #Bitcoin with 50% off in Memorial Day pr\xe2\x80\xa6 https://t.co/GwLiHYFYlz',0.0
2019-05-24 18:00:07,b'How to trade options around AAPL Earnings \xe2\x96\xb6\xef\xb8\x8fhttps://t.co/oW9wPlgGhT\n\n#AAPL $aapl #options #optionstrading',0.0
2019-05-24 17:31:54,b'#AAPL SELL',0.0
2019-05-24 17:11:43,b'1 hour charts for the Group 3 instruments are available for members viewing https://t.co/x2kmaKA6Ui #ElliottWave\xe2\x80\xa6 https://t.co/OH80QLFj4c',0.4
2019-05-24 16:51:47,"b""#Apple's 2019 #iPhone #Refresh Could Be A #Yawner While 2020 Models Get #Exciting Upgrades https://t.co/EFYaSpM1rl\xe2\x80\xa6 https://t.co/jZMIZlDxjD""",0.3
2019-05-24 16:46:57,b'\xf0\x9f\x92\xbb BTC $8142     vs     \xf0\x9f\xa6\x8d #AAPL $180.2\n\n           +3.2% \xf0\x9f\x9a\x80  1 week  \xf0\x9f\x94\xbb -3.6% \n    +104.6% \xf0\x9f\x9a\x80  YTD        \xf0\x9f\x9a\x80 +13.7%\xe2\x80\xa6 https://t.co/tjQBxuSt5K',0.0
2019-05-24 16:36:33,"b'iOS 13 Concept Envisions Dark Mode, New Volume Indicator, iPad as Extended Display for Mac, and More https://t.co/4PxOohZe9g #AAPL'",0.1621212121212121
2019-05-24 16:26:14,b'Apple Releasing iOS 12.3.1 Today With Fixes for Messages and VoLTE Bugs https://t.co/Xh14v3iHmy #AAPL',0.0
2019-05-24 16:15:22,b'Apple Inc  Reiterated Rating by Cascend Securities (Ranked 118th) to Buy with $210PT $AAPL #AAPL https://t.co/DWfFaFU7hD',0.0
2019-05-24 15:16:11,"b""iFixit Says 2019 MacBook Pro Keyboard Has 'Subtle' Changes to Design and Materials https://t.co/5Cih7MSSp3 #AAPL""",-0.3333333333333333
2019-05-24 15:12:38,b'#aapl stop!!',0.0
2019-05-24 14:41:48,b'$AAPL reacting lower from the blue box as we highlighted a couple of weeks ago https://t.co/QIhbDl3mTb #Elliottwave\xe2\x80\xa6 https://t.co/Huk805NpNG',0.0
2019-05-24 14:37:17,b'BLOCK TRADE detected in #AAPL',0.0
2019-05-24 14:07:51,"b'My prev tweet :\nWhen market opens outside the range (like today), go long and ask questions later. 7/10 times,it wi\xe2\x80\xa6 https://t.co/fCnorg7nNu'",-0.016666666666666666
2019-05-24 14:06:24,"b'2020 iPhones May Have Full-Screen Touch ID, New iPhone SE Based on iPhone 8 Also Possible Next Year https://t.co/35oPss0o4B #AAPL'",0.04545454545454545
2019-05-24 13:59:55,"b'Market looking to end the week on a positive note, after the Prez said restrictions could dial back on #Huawei as p\xe2\x80\xa6 https://t.co/QNoEAXVe5E'",0.11363636363636363
2019-05-24 13:16:34,b'Apple (AAPL) shares up a not-very-convincing 0.34% premarket ... #Apple #trade #china #Huawei #AppleForever #stocks\xe2\x80\xa6 https://t.co/TrfuGydeJj',0.0
2019-05-24 13:14:17,"b'There is a new post in our blog, come and check it out: https://t.co/UYVccABA9c \n#Apple #AAPL #Stocks #Money\xe2\x80\xa6 https://t.co/Y1BOy9zKMD'",0.13636363636363635
2019-05-24 11:15:33,b'How To Retire At 64 With Only Half A Million - Seeking Alpha https://t.co/Ele6kNRxYq #AAPL #AGNCN #HD https://t.co/00NEtFCfHE',-0.08333333333333333
2019-05-24 11:01:51,"b""Food Ordering Features Now Available in Google's Mobile Apps https://t.co/0C9YAQtLRJ #AAPL""",0.4
2019-05-24 10:08:43,b'Fire Cracker effort in Full display yesterday\xf0\x9f\x98\x80.\n\n#trading #DayTrading #options #stocks #OptionsTrading #NQ #AMZN\xe2\x80\xa6 https://t.co/5ms7XeIeTs',0.35
2019-05-24 09:26:20,"b""Taiwan's Second Apple Retail Store Opening Soon in Xinyi District of Taipei https://t.co/sW4pepMks7 #AAPL""",0.0
2019-05-24 09:19:53,b'#TSLA #FHL #AMD #AAPL #NIO #TIGR  #NVCN #ZYNE #MAXR watching into market open\n#StockMarket #investing #luckeee\xe2\x80\xa6 https://t.co/iU7xo6wSHr',0.0
2019-05-24 05:14:38,b'\xf0\x9f\x92\xbb BTC $7838     vs     \xf0\x9f\xa6\x8d #AAPL $179.8\n\n           -0.7% \xf0\x9f\x94\xbb  1 week  \xf0\x9f\x94\xbb -3.8% \n            +97% \xf0\x9f\x9a\x80  YTD        \xf0\x9f\x9a\x80 +13.4%\xe2\x80\xa6 https://t.co/D8jOeFHG2v',0.0
2019-05-24 04:14:41,b'\xf0\x9f\x92\xbb BTC $7880     vs     \xf0\x9f\xa6\x8d #AAPL $NaN\n\n        +12.6% \xf0\x9f\x9a\x80  1 week  \xf0\x9f\x99\x85\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f N/A% \n        +95.2% \xf0\x9f\x9a\x80  YTD        \xf0\x9f\x99\x85\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f N/A%\xe2\x80\xa6 https://t.co/AUBK5FQZ5S',0.0
2019-05-24 00:00:25,b'$SPY - Daily Charts - Candle Glance View\n\n$AMZN $AAPL $BABA $BAC $CELG $FB\n$GOOG $IBB $IWM $JPM $MSFT $NFLX\n$BA\xe2\x80\xa6 https://t.co/4MQvETqUIg',0.0
2019-05-23 23:35:00,b'Stock Indexes poised for WEEKLY VERTICAL CROSSOVER going DOWN. We will call it at close of market on Friday. \xe2\x80\x9cFollo\xe2\x80\xa6 https://t.co/qWymt9uUEr',-0.15555555555555559
2019-05-23 22:53:50,b'1 hour post market charts for the Group 3 instruments are available for members viewing https://t.co/x2kmaKA6Ui\xe2\x80\xa6 https://t.co/Kp0SHD7Rb0',0.4
2019-05-23 22:48:38,b'4 hour charts for all 78 instruments are available for members viewing https://t.co/x2kmaKA6Ui #ElliottWave #Forex\xe2\x80\xa6 https://t.co/mhCDaWbCoq',0.4
2019-05-23 22:47:42,b'4 hour charts for the Group 3 instruments are available for members viewing https://t.co/x2kmaKA6Ui #ElliottWave\xe2\x80\xa6 https://t.co/zwBaMMJsNV',0.4
2019-05-23 22:26:12,b'Apple Stops Signing iOS 12.2 Following Release of iOS 12.3 https://t.co/YU1oQGLPj6 #AAPL',0.0
2019-05-23 22:26:11,b'New Apple Pay Promo Offers $1 Tacos From Taco Bell https://t.co/wYmQk3jpEh #AAPL',0.11818181818181818
2019-05-23 21:30:41,b'$AAPL reacting lower from the blue box as we highlighted a couple of weeks ago  https://t.co/5vwkVJesxN \xe2\x80\xa6 #Elliottwave #AAPL #Trading',0.0
2019-05-23 21:01:42,"b'Apple Inc price at close, 2019-05-23, is 179.27. #apple #AAPL'",0.0
2019-05-23 21:01:41,b'U.S. Senate Passes Bill to Cut Down on Robocalling https://t.co/n23rFbKt4p #AAPL',-0.15555555555555559
2019-05-23 20:31:19,b'Snap Employees Have Used Internal Snapchat Tools to Spy on Users https://t.co/F51rwQ19bE #AAPL',0.0
2019-05-23 20:15:26,b'$AAPL falls to lowest close since March 11th: https://t.co/6KreKJFIPr\nSentiment: Neutral #AAPL #Apple',0.0
2019-05-23 18:21:04,b'New 8-Core MacBook Pro Offers Solid Performance Improvements According to Benchmark https://t.co/KSdc6nbk9y #AAPL',0.07878787878787878
2019-05-23 18:18:35,"b'#AAPL Daily\nHit 0,5 Fibonacci retracement\nMajor support zone coming up \nLooking for a bounce play if it gets there\xe2\x80\xa6 https://t.co/dqot9FAKWt'",0.03125
2019-05-23 17:49:39,b'#helloworld #like #love #hello #sky #nature #adventure #photography #gay #view #igdaily #apple #comingout\xe2\x80\xa6 https://t.co/d9iZ294K3a',0.45833333333333337
2019-05-23 16:36:15,"b'$AAPL Daily: #AAPL did have a DCB, but did not form an A-wave bottom,  etc major VBP support  is coming up (red), r\xe2\x80\xa6 https://t.co/QSJdJ7RGBv'",0.020833333333333332
2019-05-23 16:11:09,b'Samsung Rumored to Supply OLED Displays for 16-Inch MacBook Pro and Future iPad Pros https://t.co/IoviMkRzR0 #AAPL',0.0
2019-05-23 16:06:22,"b""New 'Source' Wireless Charger From Spansive Charges Four iPhones at Once Thanks to Unique Design https://t.co/oo5cK1aq3i #AAPL""",0.23712121212121215
2019-05-23 15:34:19,b'Apple Inc is doomed. $AAPL dropped by 1.4857%! Currently priced at 180.0645. https://t.co/HoqF250XDs #AAPL',0.0
2019-05-23 15:07:17,b'Apple has a plan to make online ads more private. #AAPL  https://t.co/HXkfBifgMW',0.25
2019-05-23 14:23:32,b'$AAPL reacting lower from the blue box as we highlighted a couple of weeks ago  https://t.co/5vwkVJesxN   #Elliottwave #AAPL #Trading',0.0
2019-05-23 14:18:54,b'Deals Spotlight: 2019 iPad Air Gets First Price Drop (Up to $40 Off) https://t.co/4TQOqaQSN5 #AAPL',0.25
